"GO_0002","        RAW_CAL/C0011893926R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","    INVERTED","U","               UNK","N/A","                 UNK","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           UNK","                           UNK","                           UNK","                           UNK","                           UNK",  2.599
"GO_0002","        RAW_CAL/C0011894600R.LBL","IM4", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 UNK","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           UNK","                           UNK","                           UNK","                           UNK","                           UNK",  2.617
"GO_0002","        RAW_CAL/C0011894613R.LBL","IM4", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","    INVERTED","U","               UNK","N/A","                 UNK","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           UNK","                           UNK","                           UNK","                           UNK","                           UNK",  0.630
"GO_0002","        RAW_CAL/C0011894626R.LBL","IM4", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","    INVERTED","U","               UNK","N/A","                 UNK","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           UNK","                           UNK","                           UNK","                           UNK","                           UNK",  0.636
"GO_0002","        RAW_CAL/C0011894639R.LBL","IM4", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","    INVERTED","U","               UNK","N/A","                 UNK","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           UNK","                           UNK","                           UNK","                           UNK","                           UNK",  0.653
"GO_0002","        RAW_CAL/C0011894652R.LBL","IM4", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","    INVERTED","U","               UNK","N/A","                 UNK","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           UNK","                           UNK","                           UNK","                           UNK","                           UNK",  0.652
"GO_0002","        RAW_CAL/C0011894665R.LBL","IM4", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","    INVERTED","U","               UNK","N/A","                 UNK","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           UNK","                           UNK","                           UNK","                           UNK","                           UNK",  0.648
"GO_0002","        RAW_CAL/C0011894678R.LBL","IM4", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","    INVERTED","U","               UNK","N/A","                 UNK","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           UNK","                           UNK","                           UNK","                           UNK","                           UNK",  0.658
"GO_0002","        RAW_CAL/C0011894700R.LBL","IM4", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","    INVERTED","U","               UNK","N/A","                 UNK","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           UNK","                           UNK","                           UNK","                           UNK","                           UNK",  0.626
"GO_0002","        RAW_CAL/C0011894713R.LBL","IM4", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","    INVERTED","U","               UNK","N/A","                 UNK","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           UNK","                           UNK","                           UNK","                           UNK","                           UNK",  0.622
