"GO_0017","       J0/OPNAV/C0349100400R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                  CKJ0CDUH.PLT","SSI_S NIP.J0CDUH_MODIFIED06039",  3.787
"GO_0017","       J0/OPNAV/C0349137800R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                  CKJ0CDUH.PLT","SSI_S NIP.J0CDUH_MODIFIED06039",  3.377
"GO_0017","       J0/OPNAV/C0349141200R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                  CKJ0CDUH.PLT","SSI_S NIP.J0CDUH_MODIFIED06039",  3.557
"GO_0017","       J0/OPNAV/C0349155100R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                  CKJ0CDUH.PLT","SSI_S NIP.J0CDUH_MODIFIED06039",  2.696
"GO_0017","       J0/OPNAV/C0349158600R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                  CKJ0CDUH.PLT","SSI_S NIP.J0CDUH_MODIFIED06039",  3.542
"GO_0017","       J0/OPNAV/C0349193900R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                  CKJ0CDUH.PLT","SSI_S NIP.J0CDUH_MODIFIED06039",  2.475
"GO_0017","          G1/IO/C0349542152R.LBL","HIM",400,400,296,335, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","Y","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0,  3,"ZIGZAG","UNIFORM","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                  CKG01AJH.PLT","SSI_S NIP.G01AJHV14_MOD_FIXED_",  1.608
"GO_0017","          G1/IO/C0349542165R.LBL","HIM",390,100,306,316, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","Y","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0,  3,"ZIGZAG","UNIFORM","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                  CKG01AJH.PLT","SSI_S NIP.G01AJHV14_MOD_FIXED_",  1.869
"GO_0017","          G1/IO/C0349542178R.LBL","HIM",115,412,286,323, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","Y","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0,  3,"ZIGZAG","UNIFORM","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                  CKG01AJH.PLT","SSI_S NIP.G01AJHV14_MOD_FIXED_",  1.644
"GO_0017","          G1/IO/C0349542188R.LBL","HIM",115,115,286,301, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","Y","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0,  3,"ZIGZAG","UNIFORM","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                    CKG01B.PLT","SSI_SNI P.G01AJHV14_MOD_FIXED_",  1.911
"GO_0017","     G1/JUPITER/C0349605600R.LBL","HIS",  2,  1,399,392, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0,  9,"ZIGZAG","UNIFORM","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                    CKG01B.PLT","SSI_SNI P.G01AJHV14_MOD_FIXED_",  3.201
"GO_0017","     G1/JUPITER/C0349605601R.LBL","HIS", 66,113,136,208, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","UNIFOR", -1,  1, -1,"   UNK","    UNK","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                    CKG01B.PLT","SSI_SNI P.G01AJHV14_MOD_FIXED_",  3.180
"GO_0017","     G1/JUPITER/C0349605622R.LBL","HIS",  1,  1,400,392, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0,  9,"ZIGZAG","UNIFORM","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                    CKG01B.PLT","SSI_SNI P.G01AJHV14_MOD_FIXED_",  3.068
"GO_0017","     G1/JUPITER/C0349605645R.LBL","HIS",  2,  1,399,392, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0,  9,"ZIGZAG","UNIFORM","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                    CKG01B.PLT","SSI_SNI P.G01AJHV14_MOD_FIXED_",  3.047
"GO_0017","     G1/JUPITER/C0349605668R.LBL","HIS",  1,  1,400,392, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0,  9,"ZIGZAG","UNIFORM","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                    CKG01B.PLT","SSI_SNI P.G01AJHV14_MOD_FIXED_",  2.777
"GO_0017","     G1/JUPITER/C0349605700R.LBL","HIS",  2,  1,399,392, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0,  9,"ZIGZAG","UNIFORM","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                    CKG01B.PLT","SSI_SNI P.G01AJHV14_MOD_FIXED_",  3.037
"GO_0017","     G1/JUPITER/C0349605722R.LBL","HIS",  1,  1,400,392, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0,  9,"ZIGZAG","UNIFORM","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                    CKG01B.PLT","SSI_SNI P.G01AJHV14_MOD_FIXED_",  3.410
"GO_0017","     G1/JUPITER/C0349605745R.LBL","HIS",  2,  1,399,392, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0,  9,"ZIGZAG","UNIFORM","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                    CKG01B.PLT","SSI_SNI P.G01AJHV14_MOD_FIXED_",  2.628
"GO_0017","     G1/JUPITER/C0349605768R.LBL","HIS",  1,  1,400,392, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0,  9,"ZIGZAG","UNIFORM","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                    CKG01B.PLT","SSI_SNI P.G01AJHV14_MOD_FIXED_",  2.723
