"1999_239_08_10","EARTH"
"1999_239_08_20","EARTH"
"1999_239_08_30","EARTH"
"1999_239_09_00","SOLAR WIND"
"1999_239_13_46","EARTH"
"1999_239_20_31","EARTH"
"1999_240_01_01","EARTH"
"1999_240_03_01","SOLAR WIND"
"1999_240_03_02","EARTH"
"1999_240_05_02","SOLAR WIND"
"1999_240_05_03","EARTH"
"1999_240_07_03","SOLAR WIND"
"1999_240_13_48","EARTH"
"1999_240_20_26","EARTH"
"1999_240_23_05","EARTH"
"1999_241_00_38","EARTH"
"1999_241_01_05","SOLAR WIND"
"1999_241_01_06","EARTH"
"1999_241_03_06","SOLAR WIND"
"1999_241_03_07","EARTH"
"1999_241_05_07","SOLAR WIND"
"1999_241_12_11","EARTH"
"1999_241_20_26","EARTH"
"1999_241_21_08","EARTH"
"1999_241_23_08","SOLAR WIND"
"1999_241_23_09","EARTH"
"1999_242_01_09","SOLAR WIND"
"1999_242_01_10","EARTH"
"1999_242_03_10","SOLAR WIND"
"1999_242_19_11","EARTH"
"1999_242_21_11","SOLAR WIND"
"1999_242_21_12","EARTH"
"1999_242_23_12","SOLAR WIND"
"1999_242_23_13","EARTH"
"1999_243_01_13","SOLAR WIND"
"1999_244_03_30","EARTH"
"1999_244_05_30","SOLAR WIND"
"1999_244_05_31","EARTH"
"1999_244_07_31","SOLAR WIND"
"1999_244_07_32","EARTH"
"1999_244_09_32","SOLAR WIND"
"1999_244_13_10","EARTH"
"1999_244_19_20","EARTH"
"1999_245_01_34","EARTH"
"1999_245_03_34","SOLAR WIND"
"1999_245_03_35","EARTH"
"1999_245_05_35","SOLAR WIND"
"1999_245_05_36","EARTH"
"1999_245_07_36","SOLAR WIND"
"1999_245_12_51","EARTH"
"1999_245_23_37","EARTH"
"1999_246_01_37","SOLAR WIND"
"1999_246_01_38","EARTH"
"1999_246_03_38","SOLAR WIND"
"1999_246_03_39","EARTH"
"1999_246_05_39","SOLAR WIND"
"1999_246_18_05","EARTH"
"1999_246_21_40","EARTH"
"1999_246_23_40","SOLAR WIND"
"1999_246_23_41","EARTH"
"1999_247_01_41","SOLAR WIND"
"1999_247_01_42","EARTH"
"1999_247_03_42","SOLAR WIND"
"1999_247_11_41","EARTH"
"1999_247_14_17","EARTH"
"1999_247_14_44","EARTH"
"1999_247_15_02","EARTH"
"1999_247_15_06","EARTH"
"1999_247_15_41","EARTH"
"1999_247_15_45","EARTH"
"1999_247_15_53","EARTH"
"1999_247_15_57","EARTH"
"1999_247_19_44","EARTH"
"1999_247_21_44","SOLAR WIND"
"1999_247_21_45","EARTH"
"1999_247_23_45","SOLAR WIND"
"1999_247_23_46","EARTH"
"1999_248_01_46","SOLAR WIND"
"1999_248_04_56","EARTH"
"1999_248_17_55","EARTH"
"1999_248_19_47","SOLAR WIND"
"1999_248_19_48","EARTH"
"1999_248_21_48","SOLAR WIND"
