# TDB, UTC, DOY, new-SCLK, old-SCLK, difference
121160000 2003-11-03T19:32:15.817452 307 1446580455.629913 1446580455.702021 -0.072107
121180000 2003-11-04T01:05:35.817449 308 1446600455.760323 1446600455.832684 -0.072362
121200000 2003-11-04T06:38:55.817445 308 1446620455.890732 1446620455.963348 -0.072616
121220000 2003-11-04T12:12:15.817442 308 1446640456.021141 1446640456.094012 -0.072871
121240000 2003-11-04T17:45:35.817439 308 1446660456.151551 1446660456.224676 -0.073125
121260000 2003-11-04T23:18:55.817436 308 1446680456.281960 1446680456.355339 -0.073379
121280000 2003-11-05T04:52:15.817432 309 1446700456.412369 1446700456.486003 -0.073634
121300000 2003-11-05T10:25:35.817429 309 1446720456.542778 1446720456.616667 -0.073888
121320000 2003-11-05T15:58:55.817425 309 1446740456.673188 1446740456.747330 -0.074143
121340000 2003-11-05T21:32:15.817422 309 1446760456.803597 1446760456.877994 -0.074397
121360000 2003-11-06T03:05:35.817419 310 1446780456.934006 1446780457.008658 -0.074652
121380000 2003-11-06T08:38:55.817415 310 1446800457.064416 1446800457.139322 -0.074906
121400000 2003-11-06T14:12:15.817412 310 1446820457.194825 1446820457.269985 -0.075160
121420000 2003-11-06T19:45:35.817408 310 1446840457.325234 1446840457.400649 -0.075415
121440000 2003-11-07T01:18:55.817405 311 1446860457.455644 1446860457.531313 -0.075669
121460000 2003-11-07T06:52:15.817401 311 1446880457.586053 1446880457.661977 -0.075924
121480000 2003-11-07T12:25:35.817398 311 1446900457.716462 1446900457.792640 -0.076178
121500000 2003-11-07T17:58:55.817394 311 1446920457.846872 1446920457.923304 -0.076433
121520000 2003-11-07T23:32:15.817390 311 1446940457.977281 1446940458.053968 -0.076687
121540000 2003-11-08T05:05:35.817387 312 1446960458.107690 1446960458.184632 -0.076941
121560000 2003-11-08T10:38:55.817383 312 1446980458.238100 1446980458.315295 -0.077196
121580000 2003-11-08T16:12:15.817379 312 1447000458.368509 1447000458.445959 -0.077450
121600000 2003-11-08T21:45:35.817376 312 1447020458.498919 1447020458.576623 -0.077705
121620000 2003-11-09T03:18:55.817372 313 1447040458.629328 1447040458.707287 -0.077959
121640000 2003-11-09T08:52:15.817368 313 1447060458.759737 1447060458.837950 -0.078213
121660000 2003-11-09T14:25:35.817364 313 1447080458.890146 1447080458.968614 -0.078468
121680000 2003-11-09T19:58:55.817361 313 1447100459.020556 1447100459.099278 -0.078722
121700000 2003-11-10T01:32:15.817357 314 1447120459.150965 1447120459.229942 -0.078977
